 Len     Freq
   1   4132
   2  17184
   3  19335
   4  16919
   5  11550
   6  11357
   7   8236
   8   3313
   9   1324
  10    590
  11    361
  12    279
  13     64
  14     53
  15     40
  16     15
  17      4
  18      5
  19     16
  20     10
  21      3
  22      0
  23      0
  24      0
  25      1
  26      0
  27      0
  28      0
  29      0
  30      1
  31      1
  32      0
  33      0
  34      1
  35      0
  36      0
  37      0
  38      0
  39      0
  40      1
